total,link,title
http://www.tate.org.uk/visit/tate-britain,/visit/tate-britain,Tate Britain
http://www.tate.org.uk/visit/tate-modern,/visit/tate-modern,Tate Modern
http://www.tate.org.uk/visit/tate-liverpool,/visit/tate-liverpool,Tate Liverpool
http://www.tate.org.uk/visit/tate-st-ives,/visit/tate-st-ives,Tate St Ives
http://www.tate.org.uk/homepage,/homepage,Home
http://www.tate.org.uk/art,http://www.tate.org.uk/art,Art & artists
http://www.tate.org.uk/visit,/visit,Visit
http://www.tate.org.uk/whats-on,/whats-on,What's on
http://www.tate.org.uk/context-comment,/context-comment,Blogs & channel
http://www.tate.org.uk/join-support,/join-support,Join & support
http://www.tate.org.uk/learn,/learn,Learn
http://www.tate.org.uk/research,/research,Research
http://www.tate.org.uk/about,/about,About
http://shop.tate.org.uk,http://shop.tate.org.uk,Shop
http://www.tate.org.uk/albums,/albums,Albums
http://www.tate.org.uk/,/,Home
http://kids.tate.org.uk/,http://kids.tate.org.uk/,Tate Kids
http://collectives.tate.org.uk,http://collectives.tate.org.uk,Tate Collectives
http://www.tate.org.uk/about/working-at-tate,/about/working-at-tate,Working at Tate
http://www.tate.org.uk/artist-rooms,/artist-rooms,ARTIST ROOMS
http://www.tate.org.uk/about/press-office,/about/press-office,Press office
http://tate-images.com/,http://tate-images.com/,Picture library
http://www.tate.org.uk/about/who-we-are/policies-and-procedures/website-terms-use/copyright-and-permissions,/about/who-we-are/policies-and-procedures/website-terms-use/copyright-and-permissions,"Copyright, permissions and photography"
http://www.tate.org.uk/about/who-we-are/policies-and-procedures/website-terms-use/privacy-and-use-cookies,/about/who-we-are/policies-and-procedures/website-terms-use/privacy-and-use-cookies,Privacy and cookies
http://www.tate.org.uk/about/who-we-are/policies-and-procedures/website-terms-use,/about/who-we-are/policies-and-procedures/website-terms-use,Terms of use
http://www.tate.org.uk/about/contact-us,/about/contact-us,Contact us
http://www.tate.org.uk/about/contact-us/feedback,/about/contact-us/feedback,Feedback
http://www.facebook.com/tategallery,http://www.facebook.com/tategallery,Facebook
http://twitter.com/tate,http://twitter.com/tate,Twitter
http://www.youtube.com/user/tate,http://www.youtube.com/user/tate,YouTube
http://www.tate.org.uk/about/our-work/digital/social-media-directory,/about/our-work/digital/social-media-directory,Social media directory
http://www.tate.org.uk/about/our-work/digital/podcast-directory,/about/our-work/digital/podcast-directory,Podcasts
http://www.tate.org.uk/about/who-we-are/charitable-status,/about/who-we-are/charitable-status,Tate's charitable status
http://www.tate.org.uk/join-support/donate,/join-support/donate,Donate
http://www.tate.org.uk/join-support/tate-member-patron/join-patron,/join-support/tate-member-patron/join-patron,Become a Patron
http://www.tate.org.uk/join-support/corporate-support/corporate-members,/join-support/corporate-support/corporate-members,Corporate Members
http://www.tate.org.uk/join-support/corporate-support/sponsorship,/join-support/corporate-support/sponsorship,Sponsorship
http://www.tate.org.uk/about/business-services/events-and-hospitality,/about/business-services/events-and-hospitality,Corporate and private eventstotal
http://www.tate.org.uk/context-comment/articles/close-up-queen-victoria-alfred-gilbert,http://www.tate.org.uk/context-comment/articles/close-up-queen-victoria-alfred-gilbert,
http://www.tate.org.uk/whats-on/tate-britain/exhibition/sculpture-victorious,/whats-on/tate-britain/exhibition/sculpture-victorious,Book now
http://www.tate.org.uk/whats-on/tate-britain/performance-and-music/walter-hugo-zoniel-salt-print-selfie,/whats-on/tate-britain/performance-and-music/walter-hugo-zoniel-salt-print-selfie,Book now
http://shop.tate.org.uk/,http://shop.tate.org.uk/,Buy now
http://www.tate.org.uk/visit/tate-britain/turner-prize/nominations,/visit/tate-britain/turner-prize/nominations,Tell us who you're nominating
http://www.tate.org.uk/join-support/tate-member-patron,/join-support/tate-member-patron,Join now
http://www.tate.org.uk/context-comment/blogs/if-i-could-soar,/context-comment/blogs/if-i-could-soar,Read more
http://www.tate.org.uk/learn/online-resources/glossary/f/feminist-art,/learn/online-resources/glossary/f/feminist-art,Read more
http://www.tate.org.uk/about/projects/tate-worlds-art-reimagined-minecraft,/about/projects/tate-worlds-art-reimagined-minecraft,Read more and download
http://www.tate.org.uk/art/artworks?gid=999999952,http://www.tate.org.uk/art/artworks?gid=999999952,Browse Art & artists
http://www.tate.org.uk/artist-rooms,/artist-rooms,Read more
http://artmaps.tate.org.uk/artmaps/tate/#cluster%5Blat%5D=51.58&cluster%5Blng%5D=-0.18&cluster%5Bpage%5D=0&zoom=15&lat=51.52&lng=-0.15&maptype=hybrid,http://artmaps.tate.org.uk/artmaps/tate/#cluster%5Blat%5D=51.58&cluster%5Blng%5D=-0.18&cluster%5Bpage%5D=0&zoom=15&lat=51.52&lng=-0.15&maptype=hybrid,Go to ArtMaps
https://www.khanacademy.org/partner-content/tate/,https://www.khanacademy.org/partner-content/tate/,Start learning with Khan Academy
http://www.tate.org.uk/context-comment/apps/william-blakes-london,/context-comment/apps/william-blakes-london,Read and download
http://www.tate.org.uk/search?f[]=im_vid_47:6527,/search?f[]=im_vid_47:6527,Listen to MixTate
http://www.tate.org.uk/context-comment/apps/tate-etc,/context-comment/apps/tate-etc,Download the latest issue nowtotaltotal
